,разметка,текст,контекст,community_id,community_type
258,speech,"[id1754873|Женя], да называй, сокращай,    если тебе так удобно.","[id7681203|Александра], дело не в том, насколько они ближе или дальше, а о том, насколько они будут воспринимать посыл. По моему опыту вегетрианцы (которые не едят мясо но едят продукты животного происхождения), зоозащитники грустно кивают головой но ничего не хотят делать сейчас, а не веганы которые едят мясо и остальные продукты животного происхождения (боже, может все же можно сократить до одного слова?), совсем не воспринимают эту информацию.
Я понимаю что мясоеды это преобладание продукта мяса, как основного в диете, но по сути так и есть.
Мясоеды, те кто ест мясо три или менее раз в день, ездят на шашлыки, охоту, все остальные продукты для них это гарнир к мясу. По-моему очень логично. Да у них правда мясо на первом месте я мясо не единственный корень зла экспуатации животных, но мне кажется он все же у некоторых людей преобладает и отделяет от других видов эксплуататоров.
Вегетарианцы это те кто не ест мяса, но используют другие продукты эксплуатации животных. Отказавшиеся от эксплуатации животных частично.
Зоозащитники люди отказавшиеся от эксплуатации только конкретных видов животных. Чаще кошек и собаки
Экозащитники, отказались или нет от эксплуатации животных, но не ради животных, а для гармонии жизни с природой 
Сыроеды - не отказавшиеся от эксплуатации животных намеренно,  но часто все же придерживающиеся вешанских идеологии.
Все эти люди, не веганы.
Кто-то ближе к веганства, кто-то дальше от него. Но все в разному степени 
И если вегетерианцев, зоозащитники, ближе к пониманию почему плохо эксплуатировать животных но сооглагающиеся на это, то мясоеды дальше от веганства и для них это темный лес.
Это оттенок слова и он важен. 
Он описывает конкретную группу не веганов по тому что они разные. Синий, зелёный, голубой цвета разные, но мы можем сказать что они все не красные, но это не передаст оттенок мысли.
Трава не красная, никак не говорит о том, что она - зелёная, а не синяя, коричневая фиолетовая и т д.
Да это не говорит о том что в цвете травы есть ещё жёлтый, салатовый, изумрудный, коричневый и другие оттенки, но это самый яркий признак цвета травы. 
Это пропагандирует то, что в цвете травы все забывают добавлять жёлтый? Да, трава довольно часто бывает жёлтая, но большую часть времени она зелёная и люди для упрощения говоря трава или цвет травы имеют ввиду именно зелёный, а не жёлтый или красный. 
Поэтому говоря мясоед ты отделяет его от остальных подгрупп не веганов. Да, их основная форма эксплуатации. Она преобладает над другими. Да эксплуатация ради яиц и молока ужасна. Но что бы их описать, мы  по закону языка выделяем самый яркий и частый признак это мясо и желаем слово создавая подгруппу мясоеды.
Когда они перестанут есть мясо то перейдут в подгруппу вегетрианцы. Они все ещё будут эксплуатировать животных и все ещё будут не веганам. Мир не бинарный, поэтому существует много слов и из выбирают в зависимости от того что имеют ввиду. 
Если убрать слово мясоед, то мясоеды не исчезнут. 
Так же как и вегетерианцы. 
А работа с мясоедами и вегетрианцам по обращению в веганскую идеологию будет разная? Так зачем их под одну гребёнку?",1,nontoxic
259,speech,"[id450332094|Илья], кто это?","Еще всякие ""Гуруйоги""с супер знающим лицом на свою публику говорят о прелестях молока. 
Хотя сами же и нарушают свой принцип ненасилия!",1,nontoxic
260,skip,"[id317764188|Пайпер], Дада Садананда ,, йогин с 500 тысяч подписчиками в ютуб
Пропагандирует вегетерианство и пользу молока","[id450332094|Илья], кто это?",1,nontoxic
261,skip,"[id450332094|Илья], ясноооо.","[id317764188|Пайпер], Дада Садананда ,, йогин с 500 тысяч подписчиками в ютуб
Пропагандирует вегетерианство и пользу молока",1,nontoxic
262,negative,"[id186337632|Павел], узнай сначала, что такое секта, а то досадно от такого тупого коммента.","Автор поста ревностный фанатичный сектант, даже досадно",1,nontoxic
263,skip,"[club139197081|Веганим Вместе], похоже, что вы сами-то не знаете)","[id186337632|Павел], узнай сначала, что такое секта, а то досадно от такого тупого коммента.",1,nontoxic
264,speech,На саундклауде,post,1,nontoxic
265,positive,полезный подкаст!,post,1,nontoxic
266,positive,"[id26860918|Полина], из мультфильмов-один мой любимый мульт детства вы уже разобрали ""Спирит,душа прерий"",а так ещё аниме Хаяо Миядзаки,такие как ""Принцесса Мононоке"", ""Ходячий замок Хаула"", ""Унесённые призраками"", ""небесный замок Лапута"", я вообще больше по японской анимации","[id133924456|Светлана], сказка Андерсена нам тоже понравилась. А мультфильмы так себе",1,nontoxic
267,neutral,"[id133924456|Светлана], эти аниме у нас часто просят для разбора, но они просто совсем не детские, поэтому пока не будем их разбирать в ближайшее время)","[id26860918|Полина], из мультфильмов-один мой любимый мульт детства вы уже разобрали ""Спирит,душа прерий"",а так ещё аниме Хаяо Миядзаки,такие как ""Принцесса Мононоке"", ""Ходячий замок Хаула"", ""Унесённые призраками"", ""небесный замок Лапута"", я вообще больше по японской анимации",1,nontoxic
268,skip,"[id26860918|Полина], ""мой сосед Тоторо"" детский 🌚","[id133924456|Светлана], эти аниме у нас часто просят для разбора, но они просто совсем не детские, поэтому пока не будем их разбирать в ближайшее время)",1,nontoxic
269,positive,"он детский и милый, посмотрите как-нибудь 🌞","[id45652304|Мария], он 1988 года, обычно на такие мультики не ставят возрастное ограничение (на кинописке нет), так что не знаю, сама не смотрела. И его ещё не просили вроде как",1,nontoxic
270,skip,"[id45652304|Мария], хорошо) а вообще я смотрю на YouTube канал КиноПоиска, у них, конечно, нет веган и фем оптики, но про Хаяо Миядзаки есть видосы, например, вот: https://youtu.be/tAopoKd6O9w","он детский и милый, посмотрите как-нибудь 🌞",1,nontoxic
271,speech,"[id26860918|Полина], а ведьмина служба доставки разве взрослый? 🤔","[id133924456|Светлана], эти аниме у нас часто просят для разбора, но они просто совсем не детские, поэтому пока не будем их разбирать в ближайшее время)",1,nontoxic
272,speech,"[id26860918|Полина], еще мне кажется довольно детский «Рыбка Поньо на утесе», и вроде как был вдохновлен Русалочкой Андерсона 🌝","[id45652304|Мария], он 1988 года, обычно на такие мультики не ставят возрастное ограничение (на кинописке нет), так что не знаю, сама не смотрела. И его ещё не просили вроде как",1,nontoxic
273,speech,"[id21762017|Ксения], по кинопоиску у него 12+
Мы смотрели ""Унесённые призраками"", там жёстко😅. И он 12+","[id26860918|Полина], а ведьмина служба доставки разве взрослый? 🤔",1,nontoxic
274,neutral,"[id21762017|Ксения], надо будет ознакомиться с его творчеством, может что-то детское найдем.","[id26860918|Полина], еще мне кажется довольно детский «Рыбка Поньо на утесе», и вроде как был вдохновлен Русалочкой Андерсона 🌝",1,nontoxic
275,skip,"[id26860918|Полина], я вот даже не знаю почему там такое возрастное ограничение если честно 🤔","[id21762017|Ксения], надо будет ознакомиться с его творчеством, может что-то детское найдем.",1,nontoxic
276,skip,"[id21762017|Ксения], а ведьмина служба доставки у нас есть в плане, все будет)) ну мы посмотрим его аниме, может быть мы не с того начали, уже страшно вообще его мультфильмы смотреть 🙈","[id26860918|Полина], я вот даже не знаю почему там такое возрастное ограничение если честно 🤔",1,nontoxic
277,skip,"[id133924456|Светлана], я не знаю)) но судя по названию что-то совсем не для детей, конечно))","[id26860918|Полина], а One Pice не знаете?не детский, конечно,и спесишизм никуда не делся,но остальное почти все наравится",1,nontoxic
278,skip,"[id133924456|Светлана], понятно, посмотрим))","[id26860918|Полина], а что с названием?это сокровище,которое все ищут, отдаленно напоминает пиратов Карибского моря",1,nontoxic
279,skip,"[id26860918|Полина], весь точно не осилить,он с 1998 года и по ныне выходит)","[id133924456|Светлана], понятно, посмотрим))",1,nontoxic
280,positive,"есть у меня еще одно любимое аниме -это ""Шепот сердца"" очень милое,и ""девочка победившая время""",post,1,nontoxic
281,skip,ух блин😆,"Привет! Мы заказываем корм Gather Endless Valley в зоомагазине Petshop. Со всякими нарытыми в гугле промиками получается более-менее норм по цене, как мне кажется. Если других вариантов не найдётся, мб на крайняк и он сойдёт https://www.petshop.ru/catalog/dogs/syxoi/vzroslye_1_6let/organicheskiy_vegankorm_dlya_sobak_gather_endless_valley_vegan_df_4301203_46662/
К сожалению, за другие корма и доставки из-за бугра не шарю, ибо моим пёсам сразу этот корм подошёл, едят иногда прям из мешка, шкрябая по нему зубами и приговаривая полушёпотом ух блин. При этом у них аж за ушами трещит. Любезно мне иногда предлагают, но я отказываюсь. Хорошо, что обои от стен пока что не отваливаются.",1,nontoxic
282,speech,"[id254070891|Александра], https://goods.ru/catalog/details/suhoy-korm-dlya-sobak-gather-endless-valley-vegan-vegetarianskiy-vse-porody-726kg-100026059400/ может здесь вам будет заказывать дешевле","Привет! Мы заказываем корм Gather Endless Valley в зоомагазине Petshop. Со всякими нарытыми в гугле промиками получается более-менее норм по цене, как мне кажется. Если других вариантов не найдётся, мб на крайняк и он сойдёт https://www.petshop.ru/catalog/dogs/syxoi/vzroslye_1_6let/organicheskiy_vegankorm_dlya_sobak_gather_endless_valley_vegan_df_4301203_46662/
К сожалению, за другие корма и доставки из-за бугра не шарю, ибо моим пёсам сразу этот корм подошёл, едят иногда прям из мешка, шкрябая по нему зубами и приговаривая полушёпотом ух блин. При этом у них аж за ушами трещит. Любезно мне иногда предлагают, но я отказываюсь. Хорошо, что обои от стен пока что не отваливаются.",1,nontoxic
283,speech,"[id7013437|Наталья], спасибо большое!!","[id254070891|Александра], https://goods.ru/catalog/details/suhoy-korm-dlya-sobak-gather-endless-valley-vegan-vegetarianskiy-vse-porody-726kg-100026059400/ может здесь вам будет заказывать дешевле",1,nontoxic
284,skip,"[id254070891|Александра], о на петшопе есть вег корма🤔","Привет! Мы заказываем корм Gather Endless Valley в зоомагазине Petshop. Со всякими нарытыми в гугле промиками получается более-менее норм по цене, как мне кажется. Если других вариантов не найдётся, мб на крайняк и он сойдёт https://www.petshop.ru/catalog/dogs/syxoi/vzroslye_1_6let/organicheskiy_vegankorm_dlya_sobak_gather_endless_valley_vegan_df_4301203_46662/
К сожалению, за другие корма и доставки из-за бугра не шарю, ибо моим пёсам сразу этот корм подошёл, едят иногда прям из мешка, шкрябая по нему зубами и приговаривая полушёпотом ух блин. При этом у них аж за ушами трещит. Любезно мне иногда предлагают, но я отказываюсь. Хорошо, что обои от стен пока что не отваливаются.",1,nontoxic
285,skip,"Ещё есть корм Benevo, но не знаю есть ли в Рф.",post,1,nontoxic
286,speech,"[id7013437|Наталья], 15 кг на какой срок
хватает для вашей собаки?","[id2264875|Даниил], несколько месяцев назад видела его за 8000 рублей за 15 кг + доставка из Москвы или Питера, а живу я в Твери. Это дорого.",1,nontoxic
287,speech,"[id7013437|Наталья], это было чисто любопытство
сочувствую что вам приходится так тратиться, надеюсь вы найдете выход из ситуации🙏","на 7 недель.
очень надеюсь, что вы не будете говорить, что столько-то рублей в месяц это совсем недорого. этот комментарий будет неуместен.",1,nontoxic
288,neutral,"Может быть перевести временно собаку на натуральное питание и готовить самим веганский корм? Веган фемили кажется говорили, что сами делают корм для собаки.","[id182640933|Юля], я нашла прекрасный сайт, где большой выбор веганского корма, лакомств и пр. для собак, но он не отправляет в Россию, искала посредников, доставка очень дорогая. Границы с Финляндией (мой посредник с бюджетной доставкой) скорее всего в этом году не откроют. Собака уже ест обычный корм с пжп.. Я точно не единственная, у кого живет собака, надеюсь, здесь услышать, как люди выходят из данной ситуации с этим коронавирусом.",1,nontoxic
289,skip,"Добрый день🌱 Яру находили вот здесь https://1001k.ru/yarrah_bio,но по наличию нужно уточнить. По России доставка ТК.",post,1,nontoxic
290,skip,"[club122259654|Веганский рацион для собак и кошек], это как раз мой посредник из Финляндии, через них можно заказать, что угодно с любых сайтов, которые доставляют в Финляндию. Но границы с Финляндией закрыты (.","Добрый день🌱 Яру находили вот здесь https://1001k.ru/yarrah_bio,но по наличию нужно уточнить. По России доставка ТК.",1,nontoxic
291,skip,"У меня они были от 2500 мкг в неделю. Пью половину этой дозы теперь, вроде нормально",post,1,nontoxic
292,skip,Курс укольчиков в попу и норм.,post,1,nontoxic
293,skip,"[id2211060|Олеся], на какой вопрос из поста вы отвечаете?",Курс укольчиков в попу и норм.,1,nontoxic
294,skip,"[club139197081|Веганим Вместе], надеюсь на тот, который про исключить высыпания и поднять б12.","[id2211060|Олеся], на какой вопрос из поста вы отвечаете?",1,nontoxic
295,skip,"[id2211060|Олеся], курс укольчиков это гарантированные высыпания. О том же и речь, что высокие дозы B12 вызывают высыпания","[club139197081|Веганим Вместе], надеюсь на тот, который про исключить высыпания и поднять б12.",1,nontoxic
296,speech,"[club139197081|Веганим Вместе], спасибо за поправку. Просто поделилась своим опытом 🤷","[id2211060|Олеся], курс укольчиков это гарантированные высыпания. О том же и речь, что высокие дозы B12 вызывают высыпания",1,nontoxic
297,skip,"[id159087500|Любовь], раньше тоже так думала. потом узнала что это биохакерский вброс","Ааааа у вас ферритин 24 это же жуткая анемия 
Ферритин должен быть равен весу как минимум",1,nontoxic
298,speech,"[id422255248|De], а есть инфа об обратном хоть где-нибудь? 🤔 Для меня сейчас это очень актуально... Ферритин 9.","[id159087500|Любовь], раньше тоже так думала. потом узнала что это биохакерский вброс",1,nontoxic
299,skip,"так 9 это ниже границы нормы.. вот если параметр не прям в границу упирается, то всё скорее всего нормально.
вообще самый главный маячок - это жалобы. отдышка, бледность, обмороки, и все остальные.
лучше врачей никто не подскажет, не слушайте интернеты","[id422255248|De], а есть инфа об обратном хоть где-нибудь? 🤔 Для меня сейчас это очень актуально... Ферритин 9.",1,nontoxic
300,skip,https://docviewer.yandex.ru/view/81973719/?page=7&*=j5IlE%2B%2FvIKg%2BBYcJ2OPfecaI2hV7InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVBbXA1cTdoTkVTQVExQkcwMm5Tdl9kTW5kaDFabnJ6QngzY1hnUko3MWtYSHVaVWVaY01SVFpUQXUtRTlBM3ZTRk9RNFQzV1RGX1cyOWhOc2l0QXJqRENLdmhmZmN5YjFsU1R6aFRzdG1EeldpaGlSSktLNmdBa1k0VkdJQlJJN1E9PT9zaWduPW9nUjhaWXV5M283VDBpR0RIV0F0RXh0SE1NNjdmMFNWdk5rRllkOF9pWU09IiwidGl0bGUiOiJlNzkwZDRlZi1iYjAxLTQ3YjAtOWViOC05YjUxNmUxYzYxOTUuZG9jeCIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiODE5NzM3MTkiLCJ0cyI6MTYwMjYxNzEzMDMxMiwieXUiOiIzMTM5Mzg1ODgxNTYzMTAxNzY1In0%3D,"[id175522369|Ксения], у меня тоже 9, сказали надо пополнять запасы",1,nontoxic
301,speech,"[id422255248|De], что это?",https://docviewer.yandex.ru/view/81973719/?page=7&*=j5IlE%2B%2FvIKg%2BBYcJ2OPfecaI2hV7InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVBbXA1cTdoTkVTQVExQkcwMm5Tdl9kTW5kaDFabnJ6QngzY1hnUko3MWtYSHVaVWVaY01SVFpUQXUtRTlBM3ZTRk9RNFQzV1RGX1cyOWhOc2l0QXJqRENLdmhmZmN5YjFsU1R6aFRzdG1EeldpaGlSSktLNmdBa1k0VkdJQlJJN1E9PT9zaWduPW9nUjhaWXV5M283VDBpR0RIV0F0RXh0SE1NNjdmMFNWdk5rRllkOF9pWU09IiwidGl0bGUiOiJlNzkwZDRlZi1iYjAxLTQ3YjAtOWViOC05YjUxNmUxYzYxOTUuZG9jeCIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiODE5NzM3MTkiLCJ0cyI6MTYwMjYxNzEzMDMxMiwieXUiOiIzMTM5Mzg1ODgxNTYzMTAxNzY1In0%3D,1,nontoxic
302,skip,http://veganhealth.ru/pages/vitaminb12/toxicity/,post,1,nontoxic
303,neutral,"а вам подтвердили, что у вас дефицит? просто снижение общего б12 в крови вовсе не обязательно значит дефицит. более показательны другие анализы🤔

вполне возможно что вам выписали бион, просто чтобы вы не тревожились, так как врач по анализу понял что причин для тревоги нет. но при этом принято выписывать хоть что-то, если пациентка тревожится и врач подозревает, что у нее ипохондрия",post,1,nontoxic
304,skip,"Ох, тоже было бы интересно послушать опыт других веганок, так как есть такая же проблема, и пока не знаю, как откорректировать дозировку б12. Все лицо покрыто красными сухими пятнами... Получается, уменьшение дозы помогает?",post,1,nontoxic
305,speech,"[id577557280|Anima], а в какой дозировке и как часто вы пьёте?","Ох, тоже было бы интересно послушать опыт других веганок, так как есть такая же проблема, и пока не знаю, как откорректировать дозировку б12. Все лицо покрыто красными сухими пятнами... Получается, уменьшение дозы помогает?",1,nontoxic
306,skip,"[id227542095|Юлия], хм, не придала значения тому, что там написано fast dissolve🤔попробую последовать вашему совету, спасибо, надеюсь, поможет)","[id577557280|Anima], у Вас Fast dissolve, это скорее всего значит что больший процент усвоения. У меня подобные были, даже от 1000 два раза в неделю были проблемы. Попробуйте таблетку раз дней в 5, и лучше под контролем анализов",1,nontoxic
307,skip,"[id577557280|Anima], http://veganhealth.ru/pages/vitaminb12/toxicity/","Ох, тоже было бы интересно послушать опыт других веганок, так как есть такая же проблема, и пока не знаю, как откорректировать дозировку б12. Все лицо покрыто красными сухими пятнами... Получается, уменьшение дозы помогает?",1,nontoxic
308,skip,"[id227542095|Юлия], это просто рекламная надпись...","[id577557280|Anima], у Вас Fast dissolve, это скорее всего значит что больший процент усвоения. У меня подобные были, даже от 1000 два раза в неделю были проблемы. Попробуйте таблетку раз дней в 5, и лучше под контролем анализов",1,nontoxic
309,skip,"[id577557280|Anima], https://docviewer.yandex.ru/view/81973719/?page=14&*=iMgZidawyYumCI8xIoB5kQ9fAg97InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVMdlNHbkNRdVBYUFRIVjcxNEVlcW5NSl85ckVHd3pxNGNsT1JXZVFuT1JYTWtsVXRvX1FPWVN3aEgzcHduS3lndVZFTXNnSUF1UGI5a05nTkk3YkRybVY3bnRxVzlKWENnMlRfdV9XZDZTVU9YN1hVT0pha295RlBVMF9TWFY3cmc9PT9zaWduPVl6cUdYd2wzSFdTSDIzNEhwSWd2dm15TVdXSF9BckdwdWROSWdBTTlyUVE9IiwidGl0bGUiOiI2YjI5Y2I3MC1hYWM5LTQwNzktOTA1Yy0wNWIxOTM3OWNmYTguZG9jeCIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiODE5NzM3MTkiLCJ0cyI6MTYwMjYxNzIxMTI3MSwieXUiOiIzMTM5Mzg1ODgxNTYzMTAxNzY1In0%3D нашла для вас, обратите внимание на 14 стр","Ох, тоже было бы интересно послушать опыт других веганок, так как есть такая же проблема, и пока не знаю, как откорректировать дозировку б12. Все лицо покрыто красными сухими пятнами... Получается, уменьшение дозы помогает?",1,nontoxic
310,skip,"[id422255248|De], спасибо)","[id577557280|Anima], http://veganhealth.ru/pages/vitaminb12/toxicity/",1,nontoxic
311,negative,"[id422255248|De], я почему-то не могу открыть страничку( интернет выдаёт: несуществующая страница😞","[id577557280|Anima], https://docviewer.yandex.ru/view/81973719/?page=14&*=iMgZidawyYumCI8xIoB5kQ9fAg97InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVMdlNHbkNRdVBYUFRIVjcxNEVlcW5NSl85ckVHd3pxNGNsT1JXZVFuT1JYTWtsVXRvX1FPWVN3aEgzcHduS3lndVZFTXNnSUF1UGI5a05nTkk3YkRybVY3bnRxVzlKWENnMlRfdV9XZDZTVU9YN1hVT0pha295RlBVMF9TWFY3cmc9PT9zaWduPVl6cUdYd2wzSFdTSDIzNEhwSWd2dm15TVdXSF9BckdwdWROSWdBTTlyUVE9IiwidGl0bGUiOiI2YjI5Y2I3MC1hYWM5LTQwNzktOTA1Yy0wNWIxOTM3OWNmYTguZG9jeCIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiODE5NzM3MTkiLCJ0cyI6MTYwMjYxNzIxMTI3MSwieXUiOiIzMTM5Mzg1ODgxNTYzMTAxNzY1In0%3D нашла для вас, обратите внимание на 14 стр",1,nontoxic
312,speech,"[id422255248|De], хорошо, спасибо)","[id577557280|Anima], хм, тогда так, введите в яндекс поиск ""б12 анемия клинические рекомендации"" и там первый документ",1,nontoxic
313,speech,"[id422255248|De], у меня просто без нее были","[id227542095|Юлия], это просто рекламная надпись...",1,nontoxic
314,skip,Покупаю обычные ампулы в12 и колу курсом и все норм.,post,1,nontoxic
315,skip,"Немного не по теме, но все таки не могу пропустить мимо. Вижу знакомые строчки от лаб4, поэтому вообще хочу сказать что они могут быть не очень ок. Я сдавала там на гормоны (в разных клиниках в течении двух лет) и в какой то момент мой врач заподозрил что динамика показателей какая то не очень. В итоге я сдала в другом месте, чтобы это проверить и у меня были ВООБЩЕ другие цифры, который подтвердились уже в третьем месте. В общем я знатно офигела, потому что у меня там везде были дефициты и я нормально так пила гормоны((
Я не имею ввиду, что у вас нет дефицита б12, а просто к тому что при возможности сдавайте в разных местах.
Крепкого здоровья!!",post,1,nontoxic
316,speech,"[id17539490|Женя], насколько сильно они различались?","Немного не по теме, но все таки не могу пропустить мимо. Вижу знакомые строчки от лаб4, поэтому вообще хочу сказать что они могут быть не очень ок. Я сдавала там на гормоны (в разных клиниках в течении двух лет) и в какой то момент мой врач заподозрил что динамика показателей какая то не очень. В итоге я сдала в другом месте, чтобы это проверить и у меня были ВООБЩЕ другие цифры, который подтвердились уже в третьем месте. В общем я знатно офигела, потому что у меня там везде были дефициты и я нормально так пила гормоны((
Я не имею ввиду, что у вас нет дефицита б12, а просто к тому что при возможности сдавайте в разных местах.
Крепкого здоровья!!",1,nontoxic
317,skip,"https://docviewer.yandex.ru/view/81973719/?page=14&*=iMgZidawyYumCI8xIoB5kQ9fAg97InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVMdlNHbkNRdVBYUFRIVjcxNEVlcW5NSl85ckVHd3pxNGNsT1JXZVFuT1JYTWtsVXRvX1FPWVN3aEgzcHduS3lndVZFTXNnSUF1UGI5a05nTkk3YkRybVY3bnRxVzlKWENnMlRfdV9XZDZTVU9YN1hVT0pha295RlBVMF9TWFY3cmc9PT9zaWduPVl6cUdYd2wzSFdTSDIzNEhwSWd2dm15TVdXSF9BckdwdWROSWdBTTlyUVE9IiwidGl0bGUiOiI2YjI5Y2I3MC1hYWM5LTQwNzktOTA1Yy0wNWIxOTM3OWNmYTguZG9jeCIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiODE5NzM3MTkiLCJ0cyI6MTYwMjYxNzIxMTI3MSwieXUiOiIzMTM5Mzg1ODgxNTYzMTAxNzY1In0%3D по поводу высыпаний, обратите внимание на 14 стр",post,1,nontoxic
318,skip,"[id422255248|De], ;(","https://docviewer.yandex.ru/view/81973719/?page=14&*=iMgZidawyYumCI8xIoB5kQ9fAg97InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVMdlNHbkNRdVBYUFRIVjcxNEVlcW5NSl85ckVHd3pxNGNsT1JXZVFuT1JYTWtsVXRvX1FPWVN3aEgzcHduS3lndVZFTXNnSUF1UGI5a05nTkk3YkRybVY3bnRxVzlKWENnMlRfdV9XZDZTVU9YN1hVT0pha295RlBVMF9TWFY3cmc9PT9zaWduPVl6cUdYd2wzSFdTSDIzNEhwSWd2dm15TVdXSF9BckdwdWROSWdBTTlyUVE9IiwidGl0bGUiOiI2YjI5Y2I3MC1hYWM5LTQwNzktOTA1Yy0wNWIxOTM3OWNmYTguZG9jeCIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiODE5NzM3MTkiLCJ0cyI6MTYwMjYxNzIxMTI3MSwieXUiOiIzMTM5Mzg1ODgxNTYzMTAxNzY1In0%3D по поводу высыпаний, обратите внимание на 14 стр",1,nontoxic
319,skip,"[id422255248|De], это https://docviewer.yandex.ru/view/0/?*=S9YBOcedVApK2rAbmo7RDQzecGl7InVybCI6Imh0dHBzOi8vbnBuZ28ucnUvdXBsb2Fkcy9tZWRpYV9kb2N1bWVudC80ODAvNmIyOWNiNzAtYWFjOS00MDc5LTkwNWMtMDViMTkzNzljZmE4LmRvY3giLCJ0aXRsZSI6IjZiMjljYjcwLWFhYzktNDA3OS05MDVjLTA1YjE5Mzc5Y2ZhOC5kb2N4Iiwibm9pZnJhbWUiOnRydWUsInVpZCI6IjAiLCJ0cyI6MTYwMjYxOTkxMTMyMSwieXUiOiI4MDk2OTkxNzUxNTkwODY4NzkxIiwic2VycFBhcmFtcyI6Imxhbmc9cnUmdG09MTYwMjYxOTkwNCZ0bGQ9cnUmbmFtZT02YjI5Y2I3MC1hYWM5LTQwNzktOTA1Yy0wNWIxOTM3OWNmYTguZG9jeCZ0ZXh0PSVEMCVCMTEyKyVEMCVCMCVEMCVCRCVEMCVCNSVEMCVCQyVEMCVCOCVEMSU4RislRDAlQkElRDAlQkIlRDAlQjglRDAlQkQlRDAlQjglRDElODclRDAlQjUlRDElODElRDAlQkElRDAlQjglRDAlQjUrJUQxJTgwJUQwJUI1JUQwJUJBJUQwJUJFJUQwJUJDJUQwJUI1JUQwJUJEJUQwJUI0JUQwJUIwJUQxJTg2JUQwJUI4JUQwJUI4JnVybD1odHRwcyUzQS8vbnBuZ28ucnUvdXBsb2Fkcy9tZWRpYV9kb2N1bWVudC80ODAvNmIyOWNiNzAtYWFjOS00MDc5LTkwNWMtMDViMTkzNzljZmE4LmRvY3gmbHI9OTcwJm1pbWU9ZG9jeCZsMTBuPXJ1JnR5cGU9dG91Y2gmc2lnbj1iZWU4ZmE0YjBhNTVjN2U5YWQ5MmY1ZmE0NGEwODY2YSZrZXlubz0wIn0%3D&lang=ru#_Toc29548852?","хм, тогда так, введите в яндекс поиск ""б12 анемия клинические рекомендации"" и там первый документ",1,nontoxic
320,skip,"[id422255248|De], блинб, пожалуйста, скиньте хотя бы скриншот","хм, тогда так, введите в яндекс поиск ""б12 анемия клинические рекомендации"" и там первый документ",1,nontoxic
321,skip,"В Чуфальне на загородном по вегану лапша без мяса, тофу с салатами и пельмени с тофу.
Говорят, что в давным давно кто-то там спрашивал и ему ответили, что там по вегану, но как на самом деле сейчас, я не знаю, уточнить трудно. С сомнением отношусь к заведениям этим короче",post,1,nontoxic
322,skip,"у Михаила Вегана был видос, но старый)",post,1,nontoxic
323,skip,"Мы специально с переводчицей с китайского ходили в китайку на апрашке, работники нас заверили, что в лапше с тофу, рисе с тофу и лапше с овощами никаких животных продуктов нет, ни бульона, ни желатина, ничего такого. 
В китайке на загородном действительно очень вкусные пельмени с тофу, порция очень большая, можно сразу в свой контейнер брать, всё равно за раз не доесть.",post,1,nontoxic
324,speech,"[id1930975|Соня], сделаю скриншот и сохраню этот коммент, если вы не против","Мы специально с переводчицей с китайского ходили в китайку на апрашке, работники нас заверили, что в лапше с тофу, рисе с тофу и лапше с овощами никаких животных продуктов нет, ни бульона, ни желатина, ничего такого. 
В китайке на загородном действительно очень вкусные пельмени с тофу, порция очень большая, можно сразу в свой контейнер брать, всё равно за раз не доесть.",1,nontoxic
325,positive,"[id1930975|Соня], круто!","Мы специально с переводчицей с китайского ходили в китайку на апрашке, работники нас заверили, что в лапше с тофу, рисе с тофу и лапше с овощами никаких животных продуктов нет, ни бульона, ни желатина, ничего такого. 
В китайке на загородном действительно очень вкусные пельмени с тофу, порция очень большая, можно сразу в свой контейнер брать, всё равно за раз не доесть.",1,nontoxic
326,skip,"[id643714|Давид], о какой частой ненависти речь? 👀","[id1930975|Соня], работники могут и соврать( тем более что понимают что если скажут что есть там что то животное ты это никогда не купишь ), а если учесть частую ненависть ещё и специально какую-нибудь бульон куриный подкладывать",1,nontoxic
327,,,post,1,nontoxic
328,,,post,1,nontoxic
329,,,post,1,nontoxic
330,,,"[id157660686|Виктория], так тут много че с глютеном",1,nontoxic
331,speech,"Вау,поздравляю!💛💛💛💛",post,2,nontoxic
332,speech,"Спасибо,  что создала такой уютный паблик",post,2,nontoxic
333,speech,Жду 100к подписчиков 😌,post,2,nontoxic
334,speech,Спасибо🤗,post,2,nontoxic
335,skip,Несреднестатистический Петр😊,post,2,nontoxic
336,positive,"Ааа, какой милый, помогите😳",post,2,nontoxic
